negatives
"frozenset({'Q13155', 'AndrogenReceptor', 'P46940'})"
"frozenset({'Q4VC31', 'AndrogenReceptor', 'Q15366'})"
"frozenset({'AndrogenReceptor', 'P55157', 'Q9UN72'})"
"frozenset({'O96019', 'AndrogenReceptor', 'P50750'})"
"frozenset({'Q96FW1', 'Q9Y383', 'AndrogenReceptor'})"
"frozenset({'P08238', 'O14757', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O60566', 'P25054'})"
"frozenset({'Q00610', 'AndrogenReceptor', 'Q8TEH3'})"
"frozenset({'Q96FV0', 'AndrogenReceptor', 'Q9NX36'})"
"frozenset({'P52758', 'AndrogenReceptor', 'Q9UET6'})"
"frozenset({'Q03164', 'Q9H672', 'AndrogenReceptor'})"
"frozenset({'O76011', 'AndrogenReceptor', 'Q9Y2K5'})"
"frozenset({'P17612', 'Q8NGC4', 'AndrogenReceptor'})"
"frozenset({'Q99684', 'AndrogenReceptor', 'Q13547'})"
"frozenset({'P20073', 'AndrogenReceptor', 'Q04724'})"
"frozenset({'Q99436', 'P25788', 'AndrogenReceptor'})"
"frozenset({'Q13286', 'A0FGR8', 'AndrogenReceptor'})"
"frozenset({'Q6Y288', 'Q96SB8', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9H3F6', 'Q8WZ19'})"
"frozenset({'AndrogenReceptor', 'Q15109', 'Q9NR96'})"
"frozenset({'AndrogenReceptor', 'Q13137', 'Q9H7X3'})"
"frozenset({'Q9Y224', 'AndrogenReceptor', 'Q12905'})"
"frozenset({'Q7Z3K3', 'AndrogenReceptor', 'Q14676'})"
"frozenset({'Q8N6R0', 'Q9Y237', 'AndrogenReceptor'})"
"frozenset({'Q96DR7', 'AndrogenReceptor', 'Q5JTZ9'})"
"frozenset({'Q53EU6', 'AndrogenReceptor', 'Q86X19'})"
"frozenset({'Q56P03', 'Q9BRX9', 'AndrogenReceptor'})"
"frozenset({'O15379', 'AndrogenReceptor', 'P17947'})"
"frozenset({'AndrogenReceptor', 'P25788', 'P54727'})"
"frozenset({'P00519', 'AndrogenReceptor', 'O14746'})"
"frozenset({'O14908', 'Q13641', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q16543', 'Q96GD4'})"
"frozenset({'AndrogenReceptor', 'P42356', 'P04629'})"
"frozenset({'P09914', 'P19484', 'AndrogenReceptor'})"
"frozenset({'Q9NTK5', 'O95817', 'AndrogenReceptor'})"
"frozenset({'O75533', 'P38919', 'AndrogenReceptor'})"
"frozenset({'P01375', 'P36507', 'AndrogenReceptor'})"
"frozenset({'Q9BV90', 'AndrogenReceptor', 'P06733'})"
"frozenset({'Q9Y376', 'O75874', 'AndrogenReceptor'})"
"frozenset({'P53350', 'Q14511', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8WYK2', 'Q13547'})"
"frozenset({'P56537', 'AndrogenReceptor', 'Q9BUJ0'})"
"frozenset({'P53350', 'O75530', 'AndrogenReceptor'})"
"frozenset({'Q96S59', 'Q9BYD3', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8TDN6', 'Q12905'})"
"frozenset({'P83881', 'AndrogenReceptor', 'Q96KR7'})"
"frozenset({'Q9Y264', 'P29317', 'AndrogenReceptor'})"
"frozenset({'Q9NXF1', 'AndrogenReceptor', 'P15880'})"
"frozenset({'Q9Y5X1', 'AndrogenReceptor', 'Q13547'})"
"frozenset({'AndrogenReceptor', 'Q15700', 'P24390'})"
"frozenset({'Q6PJ61', 'Q92614', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O00571', 'P46781'})"
"frozenset({'P83111', 'AndrogenReceptor', 'P0DP23'})"
"frozenset({'A6ND48', 'P49407', 'AndrogenReceptor'})"
"frozenset({'Q9NR30', 'Q5JTH9', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9NYY8', 'Q9NPE2'})"
"frozenset({'Q14019', 'AndrogenReceptor', 'P52565'})"
"frozenset({'P26641', 'P60520', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P01116', 'Q9NZL6'})"
"frozenset({'P61586', 'AndrogenReceptor', 'P54105'})"
"frozenset({'AndrogenReceptor', 'P98082', 'Q9H2G2'})"
"frozenset({'AndrogenReceptor', 'Q9UBD9', 'Q99665'})"
"frozenset({'AndrogenReceptor', 'P38936', 'Q8IY67'})"
"frozenset({'AndrogenReceptor', 'Q9UM22', 'P35240'})"
"frozenset({'Q14974', 'AndrogenReceptor', 'Q8N2Y8'})"
"frozenset({'Q8NHQ1', 'Q96M91', 'AndrogenReceptor'})"
"frozenset({'O00499', 'Q9NTZ6', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P01568', 'P17181'})"
"frozenset({'Q9H1K1', 'AndrogenReceptor', 'P47985'})"
"frozenset({'Q15717', 'Q9UHA3', 'AndrogenReceptor'})"
"frozenset({'Q9NRD5', 'AndrogenReceptor', 'Q9P291'})"
"frozenset({'Q8IWZ6', 'AndrogenReceptor', 'Q8N3I7'})"
"frozenset({'P25963', 'AndrogenReceptor', 'Q9UHD2'})"
"frozenset({'Q01970', 'Q6N069', 'AndrogenReceptor'})"
"frozenset({'Q02878', 'AndrogenReceptor', 'P61513'})"
"frozenset({'Q9H9Z2', 'AndrogenReceptor', 'Q99575'})"
"frozenset({'AndrogenReceptor', 'P05165', 'O60260'})"
"frozenset({'Q8IWL3', 'AndrogenReceptor', 'O75976'})"
"frozenset({'P01566', 'P23458', 'AndrogenReceptor'})"
"frozenset({'Q92466', 'Q9NUG6', 'AndrogenReceptor'})"
"frozenset({'P63215', 'O00222', 'AndrogenReceptor'})"
"frozenset({'P18621', 'AndrogenReceptor', 'P62750'})"
"frozenset({'Q5ZPR3', 'AndrogenReceptor', 'Q9NY25'})"
"frozenset({'AndrogenReceptor', 'P30876', 'Q8N201'})"
"frozenset({'AndrogenReceptor', 'P23396', 'P62269'})"
"frozenset({'P39748', 'AndrogenReceptor', 'P12081'})"
"frozenset({'Q9BYR0', 'Q6PEX3', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P27694', 'Q9Y5N6'})"
"frozenset({'P27986', 'P20963', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O95487', 'P54727'})"
"frozenset({'AndrogenReceptor', 'Q9Y3Q8', 'Q15365'})"
"frozenset({'Q53EZ4', 'Q13573', 'AndrogenReceptor'})"
"frozenset({'Q86X19', 'AndrogenReceptor', 'Q9HCM3'})"
"frozenset({'P42858', 'AndrogenReceptor', 'Q9BVJ6'})"
"frozenset({'P68402', 'P49411', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q03405', 'O43542'})"
"frozenset({'Q15717', 'Q14118', 'AndrogenReceptor'})"
"frozenset({'O75376', 'P42858', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O15297', 'P04637'})"
"frozenset({'P54764', 'AndrogenReceptor', 'P61218'})"
"frozenset({'AndrogenReceptor', 'P53365', 'O95274'})"
"frozenset({'Q00341', 'AndrogenReceptor', 'Q9H8T0'})"
"frozenset({'Q8N122', 'AndrogenReceptor', 'P04629'})"
"frozenset({'Q15075', 'Q9H0W5', 'AndrogenReceptor'})"
"frozenset({'Q9H6R7', 'AndrogenReceptor', 'O75344'})"
"frozenset({'Q08379', 'P18084', 'AndrogenReceptor'})"
"frozenset({'Q00653', 'Q9UKB1', 'AndrogenReceptor'})"
"frozenset({'P41218', 'O15226', 'AndrogenReceptor'})"
"frozenset({'Q96T76', 'AndrogenReceptor', 'Q9NRW3'})"
"frozenset({'P35225', 'P38484', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8IXQ5', 'Q8NFC6'})"
"frozenset({'Q8WXI4', 'AndrogenReceptor', 'Q9UIF3'})"
"frozenset({'Q99598', 'AndrogenReceptor', 'Q9BQ70'})"
"frozenset({'Q9Y2A7', 'Q9H251', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P62834', 'O95267'})"
"frozenset({'Q3KQV9', 'AndrogenReceptor', 'P04181'})"
"frozenset({'AndrogenReceptor', 'Q9Y250', 'P16220'})"
"frozenset({'O60266', 'AndrogenReceptor', 'P08754'})"
"frozenset({'Q00987', 'P52758', 'AndrogenReceptor'})"
"frozenset({'P36969', 'AndrogenReceptor', 'P21796'})"
"frozenset({'O95149', 'AndrogenReceptor', 'P45378'})"
"frozenset({'O95714', 'Q6ZRV2', 'AndrogenReceptor'})"
"frozenset({'P60410', 'AndrogenReceptor', 'P17024'})"
"frozenset({'O94966', 'AndrogenReceptor', 'Q9UIM3'})"
"frozenset({'P62873', 'Q8NGL1', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P11473', 'Q13569'})"
"frozenset({'O43292', 'AndrogenReceptor', 'P35610'})"
"frozenset({'AndrogenReceptor', 'Q6ZMK1', 'Q9H201'})"
"frozenset({'P01137', 'AndrogenReceptor', 'Q92748'})"
"frozenset({'AndrogenReceptor', 'Q92945', 'P62330'})"
"frozenset({'P13612', 'P08865', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q6UWE0', 'Q14164'})"
"frozenset({'Q12770', 'Q9Y5U4', 'AndrogenReceptor'})"
"frozenset({'P31749', 'AndrogenReceptor', 'O15234'})"
"frozenset({'AndrogenReceptor', 'Q9UKV8', 'Q99848'})"
"frozenset({'Q9NYW3', 'Q01814', 'AndrogenReceptor'})"
"frozenset({'Q9BRK4', 'AndrogenReceptor', 'Q8IVS8'})"
"frozenset({'Q4G0F5', 'AndrogenReceptor', 'Q13315'})"
"frozenset({'O43765', 'AndrogenReceptor', 'P78358'})"
"frozenset({'Q15323', 'Q8N5M4', 'AndrogenReceptor'})"
"frozenset({'Q15022', 'AndrogenReceptor', 'Q16254'})"
"frozenset({'Q9NY65', 'AndrogenReceptor', 'Q9BYV2'})"
"frozenset({'Q86XR8', 'Q16531', 'AndrogenReceptor'})"
"frozenset({'P02751', 'Q04828', 'AndrogenReceptor'})"
"frozenset({'P27216', 'AndrogenReceptor', 'P07355'})"
"frozenset({'P62241', 'AndrogenReceptor', 'P46778'})"
"frozenset({'O95166', 'Q14145', 'AndrogenReceptor'})"
"frozenset({'Q14839', 'P49116', 'AndrogenReceptor'})"
"frozenset({'P25963', 'AndrogenReceptor', 'P12235'})"
"frozenset({'Q14209', 'AndrogenReceptor', 'Q14161'})"
"frozenset({'AndrogenReceptor', 'P11802', 'P35606'})"
"frozenset({'Q15797', 'AndrogenReceptor', 'P25490'})"
"frozenset({'Q96A23', 'P60709', 'AndrogenReceptor'})"
"frozenset({'O15162', 'AndrogenReceptor', 'P60411'})"
"frozenset({'P24723', 'AndrogenReceptor', 'Q8TAA9'})"
"frozenset({'Q68CZ1', 'AndrogenReceptor', 'Q9ULT8'})"
"frozenset({'P49715', 'AndrogenReceptor', 'P18669'})"
"frozenset({'Q9NY27', 'AndrogenReceptor', 'Q86VU5'})"
"frozenset({'O95433', 'AndrogenReceptor', 'O15399'})"
"frozenset({'P60709', 'AndrogenReceptor', 'Q13617'})"
"frozenset({'Q13480', 'AndrogenReceptor', 'Q92529'})"
"frozenset({'AndrogenReceptor', 'P62987', 'P60900'})"
"frozenset({'Q14209', 'O75496', 'AndrogenReceptor'})"
"frozenset({'Q9BWD3', 'AndrogenReceptor', 'Q9UHD9'})"
"frozenset({'AndrogenReceptor', 'Q9Y3U8', 'O00567'})"
"frozenset({'Q04721', 'Q07157', 'AndrogenReceptor'})"
"frozenset({'Q9NRR5', 'AndrogenReceptor', 'Q8WW38'})"
"frozenset({'P27361', 'AndrogenReceptor', 'O43521'})"
"frozenset({'AndrogenReceptor', 'Q9H0S4', 'Q2MV58'})"
"frozenset({'AndrogenReceptor', 'Q03188', 'Q7L2Z9'})"
"frozenset({'P01106', 'Q70Z35', 'AndrogenReceptor'})"
"frozenset({'Q8WVV5', 'AndrogenReceptor', 'Q9UGM1'})"
"frozenset({'AndrogenReceptor', 'O95218', 'Q9UHD9'})"
"frozenset({'AndrogenReceptor', 'Q13315', 'Q14978'})"
"frozenset({'O43482', 'Q9NRA8', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P10073', 'Q14140'})"
"frozenset({'Q14517', 'Q15349', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q70UQ0', 'O75340'})"
"frozenset({'P20333', 'Q02978', 'AndrogenReceptor'})"
"frozenset({'Q13285', 'P05412', 'AndrogenReceptor'})"
"frozenset({'P31749', 'P04792', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9UHD8', 'P19404'})"
"frozenset({'P62979', 'Q99816', 'AndrogenReceptor'})"
"frozenset({'P26373', 'AndrogenReceptor', 'P61513'})"
"frozenset({'P30084', 'AndrogenReceptor', 'P62834'})"
"frozenset({'Q9NRD5', 'O96006', 'AndrogenReceptor'})"
"frozenset({'P51532', 'AndrogenReceptor', 'O75582'})"
"frozenset({'P41134', 'P43694', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P84243', 'Q5S007'})"
"frozenset({'O75530', 'P31151', 'AndrogenReceptor'})"
"frozenset({'Q99496', 'AndrogenReceptor', 'Q9BYE7'})"
"frozenset({'Q8WXH4', 'O75477', 'AndrogenReceptor'})"
"frozenset({'P31151', 'AndrogenReceptor', 'Q5SY68'})"
"frozenset({'Q13541', 'AndrogenReceptor', 'P67775'})"
"frozenset({'Q02878', 'P37108', 'AndrogenReceptor'})"
"frozenset({'Q8N2W9', 'AndrogenReceptor', 'Q9Y6K9'})"
"frozenset({'P50747', 'O15544', 'AndrogenReceptor'})"
"frozenset({'P51504', 'AndrogenReceptor', 'A6NEM1'})"
"frozenset({'P11021', 'Q76MJ5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9H9A6', 'Q7L2J0'})"
"frozenset({'P56537', 'AndrogenReceptor', 'P53041'})"
"frozenset({'AndrogenReceptor', 'Q9BVI4', 'Q9UHD9'})"
"frozenset({'AndrogenReceptor', 'Q13526', 'O75360'})"
"frozenset({'AndrogenReceptor', 'P04818', 'Q8NA72'})"
"frozenset({'Q9H492', 'AndrogenReceptor', 'Q9BST9'})"
"frozenset({'P21333', 'P35462', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'A2A2Y4', 'P48047'})"
"frozenset({'Q99558', 'Q04864', 'AndrogenReceptor'})"
"frozenset({'Q9ULK4', 'AndrogenReceptor', 'P41235'})"
"frozenset({'P56524', 'AndrogenReceptor', 'P17676'})"
"frozenset({'AndrogenReceptor', 'Q5T7V8', 'Q16617'})"
"frozenset({'P51812', 'Q86XI6', 'AndrogenReceptor'})"
"frozenset({'O95678', 'AndrogenReceptor', 'Q9NX04'})"
"frozenset({'AndrogenReceptor', 'P46094', 'Q9Y4X3'})"
"frozenset({'Q9UER7', 'AndrogenReceptor', 'Q9NPF5'})"
"frozenset({'P26885', 'AndrogenReceptor', 'P26038'})"
"frozenset({'P78386', 'AndrogenReceptor', 'Q9NT62'})"
"frozenset({'AndrogenReceptor', 'P25325', 'P60174'})"
"frozenset({'AndrogenReceptor', 'O75925', 'Q01826'})"
"frozenset({'Q9H967', 'AndrogenReceptor', 'Q9BYE7'})"
"frozenset({'Q9H2G4', 'Q9UGY1', 'AndrogenReceptor'})"
"frozenset({'P0CG13', 'AndrogenReceptor', 'O00189'})"
"frozenset({'Q08379', 'AndrogenReceptor', 'Q96MU7'})"
"frozenset({'AndrogenReceptor', 'Q9UK80', 'Q13009'})"
"frozenset({'Q99615', 'AndrogenReceptor', 'P08235'})"
"frozenset({'Q8NBJ4', 'Q08830', 'AndrogenReceptor'})"
"frozenset({'P27694', 'AndrogenReceptor', 'O60341'})"
"frozenset({'P58012', 'Q9BQ75', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9Y586', 'P78362'})"
"frozenset({'P63244', 'Q13224', 'AndrogenReceptor'})"
"frozenset({'Q8N6H7', 'Q99714', 'AndrogenReceptor'})"
"frozenset({'Q6IF00', 'P38405', 'AndrogenReceptor'})"
"frozenset({'Q8WWY6', 'O14519', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P60520', 'P60409'})"
"frozenset({'AndrogenReceptor', 'P56962', 'Q9UHC1'})"
"frozenset({'Q9H0U3', 'AndrogenReceptor', 'P20700'})"
"frozenset({'Q12931', 'Q00535', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8WYP5', 'Q12769'})"
"frozenset({'P00533', 'Q00722', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P24941', 'O75365'})"
"frozenset({'Q9NRM6', 'AndrogenReceptor', 'Q8NFM7'})"
"frozenset({'P15408', 'P53778', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8WYR1', 'Q99677'})"
"frozenset({'Q9UJQ4', 'Q01860', 'AndrogenReceptor'})"
"frozenset({'P14859', 'AndrogenReceptor', 'Q9H4B4'})"
"frozenset({'Q92830', 'AndrogenReceptor', 'Q14CW9'})"
"frozenset({'AndrogenReceptor', 'P24385', 'P51665'})"
"frozenset({'P01100', 'P08708', 'AndrogenReceptor'})"
"frozenset({'P31749', 'Q7KZI7', 'AndrogenReceptor'})"
"frozenset({'P17612', 'P06400', 'AndrogenReceptor'})"
"frozenset({'O95425', 'AndrogenReceptor', 'P20929'})"
"frozenset({'P19338', 'AndrogenReceptor', 'Q92688'})"
"frozenset({'Q02539', 'Q9GZR7', 'AndrogenReceptor'})"
"frozenset({'P29317', 'AndrogenReceptor', 'Q9HCT0'})"
"frozenset({'P25098', 'P25963', 'AndrogenReceptor'})"
"frozenset({'O95182', 'P63279', 'AndrogenReceptor'})"
"frozenset({'Q9Y2T4', 'Q04206', 'AndrogenReceptor'})"
"frozenset({'P54709', 'P61421', 'AndrogenReceptor'})"
"frozenset({'Q8TEY7', 'P56537', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O95989', 'Q9UKK9'})"
"frozenset({'P61244', 'O00327', 'AndrogenReceptor'})"
"frozenset({'Q9NYL9', 'Q16670', 'AndrogenReceptor'})"
"frozenset({'Q15843', 'AndrogenReceptor', 'P42766'})"
"frozenset({'P01111', 'AndrogenReceptor', 'Q8NFB2'})"
"frozenset({'Q6NUS6', 'AndrogenReceptor', 'Q8IXB1'})"
"frozenset({'O75197', 'AndrogenReceptor', 'Q6IMN6'})"
"frozenset({'AndrogenReceptor', 'O95295', 'P78537'})"
"frozenset({'AndrogenReceptor', 'O43660', 'P35226'})"
"frozenset({'AndrogenReceptor', 'Q7L5D6', 'P04629'})"
"frozenset({'Q9H8S9', 'P49585', 'AndrogenReceptor'})"
"frozenset({'Q7Z3Z2', 'AndrogenReceptor', 'Q14232'})"
"frozenset({'Q13094', 'Q06124', 'AndrogenReceptor'})"
"frozenset({'P05023', 'AndrogenReceptor', 'P17252'})"
"frozenset({'P13747', 'AndrogenReceptor', 'P04439'})"
"frozenset({'AndrogenReceptor', 'Q13347', 'P49917'})"
"frozenset({'AndrogenReceptor', 'Q9BRX9', 'Q14980'})"
"frozenset({'AndrogenReceptor', 'P61073', 'P48061'})"
"frozenset({'O75953', 'AndrogenReceptor', 'P34932'})"
"frozenset({'AndrogenReceptor', 'Q9BZD4', 'Q96EV8'})"
"frozenset({'P05141', 'AndrogenReceptor', 'Q14CZ7'})"
"frozenset({'Q8IUR0', 'AndrogenReceptor', 'Q9NP66'})"
"frozenset({'AndrogenReceptor', 'P25800', 'Q86U70'})"
"frozenset({'Q8WWB5', 'AndrogenReceptor', 'P16220'})"
"frozenset({'P14923', 'AndrogenReceptor', 'P13994'})"
"frozenset({'P22681', 'P27986', 'AndrogenReceptor'})"
"frozenset({'Q969L2', 'P34897', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P06748', 'Q9H0U6'})"
"frozenset({'P01111', 'Q00597', 'AndrogenReceptor'})"
"frozenset({'Q8WVE6', 'Q8WUD6', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96NB3', 'Q15393'})"
"frozenset({'P62195', 'AndrogenReceptor', 'Q92560'})"
"frozenset({'Q9NQX4', 'AndrogenReceptor', 'Q5T5U3'})"
"frozenset({'Q86U42', 'P05412', 'AndrogenReceptor'})"
"frozenset({'O94906', 'Q9Y5B9', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9H6K4', 'P14735'})"
"frozenset({'P38405', 'AndrogenReceptor', 'Q8NGP2'})"
"frozenset({'AndrogenReceptor', 'P49768', 'P28066'})"
"frozenset({'AndrogenReceptor', 'Q13618', 'Q13885'})"
"frozenset({'AndrogenReceptor', 'Q49A26', 'P06748'})"
"frozenset({'Q4V328', 'Q96M91', 'AndrogenReceptor'})"
"frozenset({'Q04864', 'AndrogenReceptor', 'Q9Y696'})"
"frozenset({'Q9Y376', 'Q9BSH4', 'AndrogenReceptor'})"
"frozenset({'Q15435', 'AndrogenReceptor', 'Q9GZN8'})"
"frozenset({'Q14114', 'P02649', 'AndrogenReceptor'})"
"frozenset({'P78423', 'P08648', 'AndrogenReceptor'})"
"frozenset({'P49441', 'AndrogenReceptor', 'Q7Z6G3'})"
"frozenset({'AndrogenReceptor', 'P61981', 'Q8NEM2'})"
"frozenset({'Q8N6S5', 'AndrogenReceptor', 'Q9H0F7'})"
"frozenset({'P12830', 'AndrogenReceptor', 'Q07890'})"
"frozenset({'AndrogenReceptor', 'P05388', 'O60260'})"
"frozenset({'AndrogenReceptor', 'Q09472', 'Q9Y297'})"
"frozenset({'Q16851', 'AndrogenReceptor', 'Q15365'})"
"frozenset({'O96019', 'P63261', 'AndrogenReceptor'})"
"frozenset({'P51530', 'AndrogenReceptor', 'Q99708'})"
"frozenset({'P53355', 'AndrogenReceptor', 'P67775'})"
"frozenset({'AndrogenReceptor', 'Q5XUX0', 'Q08050'})"
"frozenset({'P54253', 'P63165', 'AndrogenReceptor'})"
"frozenset({'Q96QU1', 'AndrogenReceptor', 'Q13402'})"
"frozenset({'Q8IYJ3', 'P14598', 'AndrogenReceptor'})"
"frozenset({'Q8NG81', 'AndrogenReceptor', 'Q9P2W3'})"
"frozenset({'Q02930', 'AndrogenReceptor', 'Q9UFD9'})"
"frozenset({'P62072', 'AndrogenReceptor', 'Q68DC2'})"
"frozenset({'Q13469', 'P05412', 'AndrogenReceptor'})"
"frozenset({'Q08379', 'AndrogenReceptor', 'Q9H668'})"
"frozenset({'AndrogenReceptor', 'Q9NZZ3', 'O95630'})"
"frozenset({'P38405', 'AndrogenReceptor', 'Q8NGR5'})"
"frozenset({'AndrogenReceptor', 'O95997', 'P04637'})"
"frozenset({'Q9H0R8', 'Q92499', 'AndrogenReceptor'})"
"frozenset({'P27348', 'Q8NHG8', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P16471', 'P15018'})"
"frozenset({'P04792', 'O75369', 'AndrogenReceptor'})"
"frozenset({'P19320', 'AndrogenReceptor', 'Q92616'})"
"frozenset({'AndrogenReceptor', 'Q8N3L3', 'P08779'})"
"frozenset({'AndrogenReceptor', 'Q7Z3S9', 'Q08117'})"
"frozenset({'P63215', 'Q08828', 'AndrogenReceptor'})"
"frozenset({'Q9NS69', 'AndrogenReceptor', 'P46783'})"
"frozenset({'Q96IQ7', 'Q92973', 'AndrogenReceptor'})"
"frozenset({'Q14134', 'AndrogenReceptor', 'P14373'})"
"frozenset({'AndrogenReceptor', 'P05388', 'P32969'})"
"frozenset({'P53602', 'P10619', 'AndrogenReceptor'})"
"frozenset({'P60763', 'Q6PCT2', 'AndrogenReceptor'})"
"frozenset({'Q6ZVZ8', 'AndrogenReceptor', 'P23246'})"
"frozenset({'Q8N423', 'AndrogenReceptor', 'Q86XS5'})"
"frozenset({'P0DP24', 'AndrogenReceptor', 'P63027'})"
"frozenset({'P15408', 'P54855', 'AndrogenReceptor'})"
"frozenset({'Q13618', 'AndrogenReceptor', 'O15160'})"
"frozenset({'AndrogenReceptor', 'P04637', 'P07384'})"
"frozenset({'P60006', 'AndrogenReceptor', 'P51955'})"
"frozenset({'Q13007', 'AndrogenReceptor', 'P14784'})"
"frozenset({'P07550', 'AndrogenReceptor', 'Q96RP9'})"
"frozenset({'Q9UBX2', 'AndrogenReceptor', 'Q9Y3U8'})"
"frozenset({'O95166', 'Q8WXU2', 'AndrogenReceptor'})"
"frozenset({'P05023', 'AndrogenReceptor', 'P21796'})"
"frozenset({'Q00839', 'P41219', 'AndrogenReceptor'})"
"frozenset({'P46108', 'Q9Y2M5', 'AndrogenReceptor'})"
"frozenset({'P31629', 'AndrogenReceptor', 'P63104'})"
"frozenset({'Q9NZI8', 'Q13490', 'AndrogenReceptor'})"
"frozenset({'Q96ST3', 'P35611', 'AndrogenReceptor'})"
"frozenset({'Q00987', 'AndrogenReceptor', 'Q86Z02'})"
"frozenset({'P35626', 'Q8NGE2', 'AndrogenReceptor'})"
"frozenset({'Q9Y224', 'P60520', 'AndrogenReceptor'})"
"frozenset({'Q9Y4A5', 'AndrogenReceptor', 'Q13315'})"
"frozenset({'AndrogenReceptor', 'P12111', 'P30101'})"
"frozenset({'Q6AZY7', 'AndrogenReceptor', 'Q9Y625'})"
"frozenset({'Q8IWL3', 'AndrogenReceptor', 'Q9Y375'})"
"frozenset({'Q92786', 'AndrogenReceptor', 'P56545'})"
"frozenset({'Q13561', 'P42858', 'AndrogenReceptor'})"
"frozenset({'O14610', 'O43741', 'AndrogenReceptor'})"
"frozenset({'Q9Y468', 'P49721', 'AndrogenReceptor'})"
"frozenset({'P53621', 'Q9H0W5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q71UM5', 'P04637'})"
"frozenset({'AndrogenReceptor', 'Q9H9B4', 'P47985'})"
"frozenset({'P33992', 'Q1KMD3', 'AndrogenReceptor'})"
"frozenset({'Q9Y3F4', 'P14678', 'AndrogenReceptor'})"
"frozenset({'Q9Y508', 'Q8N9I9', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P09936', 'Q04695'})"
"frozenset({'Q16658', 'O60739', 'AndrogenReceptor'})"
"frozenset({'Q02750', 'AndrogenReceptor', 'O14965'})"
"frozenset({'P38159', 'Q07666', 'AndrogenReceptor'})"
"frozenset({'Q04206', 'Q9NWT6', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O15264', 'Q06413'})"
"frozenset({'P35568', 'P22455', 'AndrogenReceptor'})"
"frozenset({'Q15323', 'AndrogenReceptor', 'Q86WW8'})"
"frozenset({'P49711', 'Q92841', 'AndrogenReceptor'})"
"frozenset({'O75525', 'AndrogenReceptor', 'Q5BKZ1'})"
"frozenset({'AndrogenReceptor', 'P55795', 'Q15287'})"
"frozenset({'O60684', 'Q96EK6', 'AndrogenReceptor'})"
"frozenset({'Q9NQT4', 'AndrogenReceptor', 'Q8WZ19'})"
"frozenset({'AndrogenReceptor', 'Q9BS18', 'Q8NHZ8'})"
"frozenset({'AndrogenReceptor', 'O60832', 'Q9BVI4'})"
"frozenset({'Q9HCE1', 'O43242', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O75955', 'Q96SB4'})"
"frozenset({'Q9P299', 'AndrogenReceptor', 'P18146'})"
"frozenset({'Q86VP6', 'AndrogenReceptor', 'Q9Y295'})"
"frozenset({'Q4ADV7', 'P20963', 'AndrogenReceptor'})"
"frozenset({'P05067', 'O95926', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O95817', 'O95831'})"
"frozenset({'AndrogenReceptor', 'P29401', 'Q6P3W7'})"
"frozenset({'AndrogenReceptor', 'P15311', 'Q6IQ23'})"
